name,full_name,tally,panel,ensembl,location,uniprot,tags,OMIM,panels,panel_names,disease_group,disease_sub_group,mode_of_inheritance,confidence_level,len,pLI,pRec,pNull,%modelled
SLC46A1,solute carrier family 46 member 1,18,,ENSG00000076351,(build: 38)17:28394756-28407197,Q96NT5,,611672,109|192|285|398|467|469|471|474|475|478|484|540,Adult onset movement disorder|Cardiomyopathies - including childhood onset|Cerebral folate deficiency|DDG2P|Dystonia - childhood onset|Early onset dystonia|Fetal anomalies|Inborn errors of metabolism|Intellectual disability|Molecular autopsy|Neurodegenerative disorders - adult onset|Primary immunodeficiency,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Motor Disorders of the CNS|NA|Neurodevelopmental disorders|Specific metabolic abnormalities,Biallelic|NA|Unknown,1|3|4,459,0.104422521,0.863697809,0.03187967,0
FOLR1,folate receptor 1,18,,ENSG00000110195,(build: 38)11:72189558-72196323,P15328,,136430,109|20|219|285|402|42|466|469|471|474|476|477|478|484,Ataxia and cerebellar anomalies - narrow panel|Cardiomyopathies - including childhood onset|Cerebral folate deficiency|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Hereditary ataxia|Hereditary ataxia - adult onset|Inherited white matter disorders|Intellectual disability|Molecular autopsy|Neurodegenerative disorders - adult onset|Neurotransmitter disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic,3|4,257,0.007410675,0.923931695,0.06865763,0.910505837
MTHFR,methylenetetrahydrofolate reductase,12,,ENSG00000177000,(build: 38)1:11785723-11806920,P42898,,607093,105|109|11|175|285|394|402|469|471|478|484,Cardiomyopathies - including childhood onset|Cerebral folate deficiency|DDG2P|Familial Meniere Disease|Familial Neural Tube Defects|Fetal anomalies|Genetic epilepsy syndromes|Inherited bleeding disorders|Intellectual disability|Molecular autopsy|Pneumothorax - familial,Haematological and immunological disorders|Hearing and ear disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Respiratory disorders,Haemostasis disorders|Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Other hearing and ear disorders|Specific metabolic abnormalities|Structural lung disorders,Biallelic|Monoallelic|NA,1|3|4,656,2.46E-07,0.900732806,0.099266949,0.925304878
DHFR,dihydrofolate reductase,15,,ENSG00000228716,(build: 38)5:80626228-80654983,P00374,,126060,106|109|156|159|219|285|469|471|475|478|484|493|518,Cardiomyopathies - including childhood onset|Cerebral folate deficiency|Cytopaenias and congenital anaemias|DDG2P|Dystonia - childhood onset|End-stage renal disease - childhood onset|Fetal anomalies|Intellectual disability|Molecular autopsy|Neurotransmitter disorders|Proteinuric renal disease|Rare anaemia|Renal and urinary tract disorders,Haematological disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Renal and urinary tract disorders,Anaemias and red cell disorders|Disorders of function|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|Syndromes with prominent renal abnormalities,Biallelic|NA|Unknown,1|2|3|4,187,0.276594318,0.700080993,0.023324689,0.994652406
EBP,emopamil binding protein (sterol isomerase),14,,ENSG00000147155,(build: 38)X:48521158-48528716,Q5HYK7,,300205,114|144|179|285|30|309|384|469|471|478|484|556,Cardiomyopathies - including childhood onset|Chondrodysplasia punctata|DDG2P|Fetal anomalies|Fetal hydrops|Hydrocephalus|Intellectual disability|Limb disorders|Molecular autopsy|Palmoplantar keratodermas|Peroxisomal disorders|Skeletal dysplasia,Dysmorphic and congenital abnormality syndromes|Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Fetal disorders|NA|Neurodevelopmental disorders|Peroxisomal disorders|Skeletal dysplasias,X-Linked,1|2|3|4,,,,,0
PEX7,peroxisomal biogenesis factor 7,29,,ENSG00000112357,(build: 38)6:136822564-136913937,O00628,,601757,114|144|209|230|249|285|30|302|307|309|385|402|469|471|478|484|509|96,Cardiomyopathies - including childhood onset|Cataracts|Chondrodysplasia punctata|DDG2P|Ductal plate malformation|Fetal anomalies|Fetal hydrops|Genetic epilepsy syndromes|Glaucoma (developmental)|Intellectual disability|Malformations of cortical development|Molecular autopsy|Neonatal cholestasis|Peroxisomal disorders|Retinal disorders|Skeletal dysplasia|Structural eye disease|Undiagnosed metabolic disorders,Dysmorphic and congenital abnormality syndromes|Gastroenterological disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Skeletal disorders,Anterior segment abnormalities|Fetal disorders|Inherited Epilepsy Syndromes|Liver disease|NA|Neurodevelopmental disorders|Peroxisomal disorders|Posterior segment abnormalities|Skeletal dysplasias|Specific metabolic abnormalities,Biallelic|NA,1|3|4,323,6.86E-08,0.260872576,0.739127355,0
AGPS,alkylglycerone phosphate synthase,20,,ENSG00000018510,(build: 38)2:177392644-177559299,O00116,,603051,174|230|285|30|309|467|469|471|472|478|484|565,Cardiomyopathies - including childhood onset|Cataracts|Chondrodysplasia punctata|DDG2P|Fetal anomalies|Inborn errors of metabolism|Insulin resistance (including lipodystrophy)|Intellectual disability|Molecular autopsy|Monogenic diabetes|Rare genetic inflammatory skin disorders|Skeletal dysplasia,Endocrine disorders|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Skeletal disorders,Anterior segment abnormalities|Disorders of unusual phenotypes|NA|Neurodevelopmental disorders|Skeletal dysplasias,Biallelic|NA,1|3|4,658,0.998805102,0.001194897,6.69E-10,0
ARSE,arylsulfatase E (chondrodysplasia punctata 1),11,,ENSG00000157399,(build: 38)X:2934632-2968310,P51690,,300180,114|285|30|302|309|467|469|471|478|484,Cardiomyopathies - including childhood onset|Chondrodysplasia punctata|DDG2P|Fetal anomalies|Inborn errors of metabolism|Intellectual disability|Molecular autopsy|Peroxisomal disorders|Skeletal dysplasia|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,NA|Neurodevelopmental disorders|Peroxisomal disorders|Skeletal dysplasias|Specific metabolic abnormalities,X-Linked,3|4,589,0.120625325,0.873977397,0.005397278,0
GNPAT,glyceronephosphate O-acyltransferase,10,,ENSG00000116906,(build: 38)1:231241207-231277973,O15228,,602744,114|230|285|30|302|309|469|471|478|484,Cardiomyopathies - including childhood onset|Cataracts|Chondrodysplasia punctata|DDG2P|Fetal anomalies|Intellectual disability|Molecular autopsy|Peroxisomal disorders|Skeletal dysplasia|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Skeletal disorders,Anterior segment abnormalities|NA|Neurodevelopmental disorders|Peroxisomal disorders|Skeletal dysplasias|Specific metabolic abnormalities,Biallelic,3|4,680,0.291272733,0.708689868,3.74E-05,0
TSC1,TSC complex subunit 1,23,,ENSG00000165699,(build: 38)9:132891348-132944633,Q92574,,605284,122|150|156|178|197|200|245|259|283|285|309|391|402|470|478|484|53|558|559|96,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|Classical tuberous sclerosis|Cystic kidney disease|DDG2P|Ehlers Danlos syndromes|End-stage renal disease - childhood onset|Familial pulmonary fibrosis|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|Malformations of cortical development|Multiple monogenic benign skin tumours|Pigmentary skin disorders|Primary ciliary disorders|Rare multisystem ciliopathy disorders|Skeletal dysplasia|Thoracic dystrophies|Tumour predisposition - adult onset,Cancer Programme|Ciliopathies|NA|Neurology and neurodevelopmental disorders|Renal and urinary tract disorders|Respiratory disorders|Rheumatological disorders|Skeletal disorders|Tumour syndromes,Congenital malformations caused by ciliopathies|Connective tissues disorders|Disorders of function|Inherited Epilepsy Syndromes|Interstitial lung disorders|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Respiratory ciliopathies|Skeletal dysplasias|Structural renal and urinary tract disease|Tumour syndromes,Monoallelic|NA,0|1|2|3|4,1164,0.999978334,2.17E-05,3.82E-14,0.047250859
